COMBINED

=== OVERALL STATS.CSV ===
elev,N,count,median,p25,p75
13,7,14,0.63,0.365,0.705
13,8,136,0.355,0.232,0.548
18,0,33,0.684,0.609,0.792
18,2,55,0.759,0.665,0.821
18,3,41,0.674,0.61,0.755
18,5,34,0.732,0.604,0.846
18,6,69,0.688,0.493,0.855
18,7,43,0.59,0.444,0.798
18,8,258,0.325,0.213,0.481
23,0,35,0.775,0.699,0.843
23,2,47,0.787,0.697,0.823
23,3,42,0.801,0.706,0.941
23,5,62,0.802,0.702,0.865
23,6,68,0.739,0.626,0.889
23,7,28,0.821,0.49,0.893
23,8,160,0.369,0.218,0.663
28,0,38,0.902,0.758,1.032
28,2,35,0.904,0.839,0.989
